Image C=1,I=483
The max ELI is 30299.384766
     22  1.615 130.009  0.2131  0.132
     23  0.746  50.774  0.5182  0.015
     24  2.723 563.663  0.1708  1.000
     25  1.321  71.498  0.2458  0.056
     26  1.792  28.509  0.4410  0.018
     27  1.015   8.199  0.0290  0.026
     28  0.615   2.522  0.0000  0.006
     29  0.688  25.619  0.2274  0.013
     30  0.961  40.824  0.3424  0.020
     31  1.000  16.296  0.2230  0.011
     32  2.102  14.546  0.4934  0.010
     35  0.223   6.661  0.1147  0.002
     36  2.459  22.143  0.4587  0.017
     37  1.050  17.031  0.1989  0.013
     38  1.986  18.890  0.2197  0.022
     39  1.570  41.897  0.2517  0.037
     42  0.430   6.151  0.0540  0.006
     43  1.105  29.445  0.3299  0.016
     44  2.531  25.447  0.5989  0.017
     45  0.622   3.640  0.0000  0.008
     47  2.410  20.229  0.6061  0.013
     48  0.626  49.417  0.3713  0.016
     49  0.496  58.394  0.1478  0.032
     50  0.775   9.508  0.2151  0.006
     51  0.552   0.000  0.0000  0.000
     52  0.712  33.206  0.3458  0.013
     53  0.000   3.543  0.0000  0.000
     54  0.618   7.741  0.4099  0.002
     55  2.711  27.189  0.7347  0.016
     56  1.431   0.000  0.0000  0.000
     58  0.418   6.098  0.3970  0.001
     59  3.032  14.942  0.2685  0.020
     60  1.820  10.033  0.0377  0.041
     61  2.119  24.779  0.5112  0.016
     62  1.230  63.820  0.1696  0.063
     64  1.428  10.024  0.2433  0.008
     67  1.082  58.078  0.1620  0.054
     68  2.548   3.400  0.0000  0.022
     69  0.856   6.998  0.0686  0.010
     70  2.497  10.428  0.8006  0.005
     71  2.002  15.665  0.2488  0.017
     72  1.805  85.955  0.1536  0.121
     73  0.705  24.967  0.3895  0.009
     74  3.309  20.469  0.5237  0.018
     75  0.934  46.248  0.3538  0.021
     76  1.770   4.264  0.3874  0.003
     78  2.973   6.724  0.0430  0.036
     79  0.306   8.681  0.1962  0.003
     81  0.548  50.237  0.4425  0.013
     82  1.455  51.321  0.1827  0.054
     83  1.583   8.218  0.1535  0.011
     84  0.875  44.505  0.2656  0.024
     85  0.743  41.434  0.4029  0.015
     86  0.705  24.362  0.3257  0.010
     87  0.667  53.667  0.1459  0.037
     88  0.669  37.422  0.3426  0.014
     89  0.939  80.065  0.2081  0.055
     90  0.523  23.263  0.1400  0.014
     91  0.979  61.799  0.1891  0.047
     92  0.720  36.516  0.1772  0.023
     93  0.613   0.000  0.0000  0.000
     95  3.795  13.799  0.5318  0.013
     96  0.383   0.000  0.0000  0.000
     97  0.858   8.497  0.0512  0.016
     98  0.581   0.000  0.0000  0.000
     99  1.832  16.421  0.2229  0.018
    100  1.792  13.309  0.1258  0.022
Image C=47,I=3
The max ELI is 17349.310547
   Line   grad    leng    kurv    eli
      1  1.270 147.157  0.3355  0.404
      2  1.264  54.673  0.2003  0.220
      3  0.536  10.952  0.2244  0.021
      4  1.030  16.964  0.3019  0.043
      5  0.975  16.197  0.3912  0.033
      6  1.217  26.910  0.2842  0.081
      7  0.909  31.979  0.3913  0.061
      8  1.111  95.330  0.3016  0.257
      9  1.002  15.758  0.3004  0.039
     10  0.998  42.025  0.1263  0.201
     11  1.095  52.256  0.1525  0.232
     12  1.153  41.358  0.3656  0.099
     13  1.502  19.911  0.5088  0.045
     14  0.952  18.610  0.3606  0.039
     15  1.049  34.348  0.4592  0.065
     16  1.023  27.972  0.2310  0.086
     17  0.956  15.302  0.4209  0.029
     18  0.973  81.954  0.1772  0.298
     19  1.185  18.013  0.2263  0.063
     20  0.000   0.000  0.0000  0.000
     21  1.039 130.965  0.2849  0.350
     22  0.667  10.438  0.0505  0.073
     23  1.253  55.391  0.3539  0.145
     24  0.810   4.123  0.0000  0.057
     25  0.852   7.428  0.0436  0.070
     26  0.951  19.190  0.3232  0.044
     27  1.522   7.076  0.2118  0.031
     28  1.811   6.766  0.1160  0.054
     29  1.332  21.956  0.4017  0.055
     30  1.028   6.696  0.0103  0.112
     31  1.611  10.864  0.2753  0.041
     33  0.846   6.002  0.0000  0.086
     34  0.895  10.419  0.2802  0.025
     35  1.073  11.073  0.2617  0.032
     36  0.834   9.278  0.0570  0.070
     37  0.502   2.953  0.0000  0.029
     38  1.353  42.153  0.3255  0.124
     39  1.250  19.081  0.2953  0.057
     40  0.748  10.191  0.2430  0.024
     41  0.796  29.305  0.1669  0.096
     42  1.037  15.724  0.2563  0.045
     43  1.027  26.977  0.3067  0.068
     44  0.896 109.550  0.2880  0.260
     45  0.724   6.679  0.2556  0.015
     46  0.920   4.031  0.0000  0.062
     48  0.689   9.845  0.0904  0.046
     50  0.607  19.153  0.2666  0.036
     51  0.708  61.595  0.3747  0.100
     52  0.000   7.846  0.1010  0.000
     53  1.483   2.967  0.0000  0.065
     54  1.565  18.982  0.6085  0.039
     55  0.827   6.884  0.0515  0.056
     56  1.015  91.859  0.3242  0.219
     57  1.706  15.599  0.1092  0.124
     58  1.980  20.578  0.4936  0.059
     59  0.899  21.443  0.3284  0.046
     60  1.171  21.403  0.3105  0.059
     62  0.443  18.156  0.4855  0.017
     63  0.484   3.202  0.0000  0.030
     64  0.969  15.170  0.1324  0.068
     65  1.107  22.407  0.3839  0.050
     66  1.610  11.103  0.0829  0.104
     67  1.303  18.537  0.4932  0.039
     68  0.698   7.457  0.3066  0.014
     70  2.113   5.334  0.4266  0.018
     71  0.632   7.367  0.0000  0.085
     73  1.928   6.801  0.0516  0.104
     74  0.752   9.925  0.1942  0.028
     75  0.726  13.404  0.4129  0.021
     76  1.212  64.605  0.1689  0.287
     77  0.582   5.592  0.0605  0.031
     78  0.794  75.860  0.4227  0.123
     79  1.165  14.778  0.1728  0.063
     81  0.478   3.005  0.0000  0.028
     82  1.243  40.302  0.2814  0.124
     83  0.781   9.811  0.1026  0.046
     84  1.412   7.201  0.0000  0.152
     85  2.034  10.293  0.1840  0.063
     86  1.162  25.207  0.3685  0.060
     87  1.319   8.278  0.1734  0.038
     88  1.055  13.543  0.1926  0.049
     90  0.939   7.272  0.0699  0.052
     92  1.326  65.602  0.2924  0.206
     95  1.253  22.910  0.3610  0.059
     96  0.593   4.904  0.1905  0.012
     97  0.674   5.389  0.1464  0.017
     98  1.310  66.181  0.2371  0.242
     99  0.873  53.002  0.3222  0.113
    100  1.181  51.722  0.4915  0.101
    101  1.124   7.613  0.1593  0.033
    102  1.221   9.284  0.5443  0.017
    103  0.836   9.734  0.2100  0.028
    104  1.624   9.951  0.1828  0.052
    105  0.865  13.173  0.4639  0.021
    106  1.212   4.121  0.1851  0.017
    107  0.424   6.473  0.0962  0.020
    108  0.838  44.750  0.3864  0.081
    109  0.892  14.885  0.1914  0.048
    110  1.495   5.443  0.2825  0.019
    111  1.225   2.749  0.0000  0.052
    112  1.451  37.628  0.3777  0.105
    113  1.142   6.247  0.1524  0.029
    114  1.168  22.097  0.1930  0.086
    115  0.417   5.336  0.0000  0.045
    116  1.039   0.000  0.0000  0.000
    117  0.885  15.652  0.3735  0.030
    118  1.298  50.963  0.3507  0.138
    119  0.916  14.284  0.2530  0.038
    120  0.558  43.382  0.3139  0.068
    121  0.759  15.752  0.1468  0.055
    123  1.094   6.939  0.0245  0.121
    125  1.078  34.444  0.3907  0.075
    126  0.874  16.631  0.1535  0.062
    127  0.895  10.844  0.2376  0.030
    128  0.680   7.919  0.0875  0.037
    129  0.732   7.936  0.0807  0.042
    131  1.067   9.354  0.0461  0.100
    132  0.641   8.354  0.0000  0.098
    133  0.627  12.145  0.1884  0.030
    134  1.289  13.230  0.2162  0.051
    135  1.407  10.346  0.7104  0.017
    137  0.949   4.690  0.3366  0.010
    138  1.298  13.056  0.1829  0.057
    139  0.327   4.877  0.0960  0.012
    140  1.418  47.949  0.2676  0.170
    141  0.981  40.702  0.2565  0.113
    142  1.108  17.524  0.2986  0.047
    143  1.454   9.864  0.1802  0.048
    144  1.201   7.861  0.2510  0.026
    145  1.156   7.632  0.1265  0.041
    146  1.089   7.603  0.1010  0.046
    147  0.923  18.753  0.2137  0.057
    148  1.266  59.071  0.3705  0.150
    150  1.178  11.630  0.3834  0.027
    151  0.482   6.782  0.0716  0.029
    152  0.560  13.994  0.1633  0.036
    153  1.218  11.664  0.5161  0.022
    154  1.456   9.101  0.2842  0.031
    155  0.806  15.364  0.5047  0.022
    156  0.779   6.850  0.0000  0.093
    157  1.250  20.389  0.4008  0.048
    158  1.392  40.611  0.3975  0.105
    159  0.934   7.829  0.2127  0.024
    160  0.854   8.685  0.7050  0.010
    161  0.980   7.006  0.0000  0.113
    163  2.169  79.868  0.3697  0.305
    164  1.655  52.452  0.1943  0.265
    165  2.450 134.494  0.2153  0.844
    166  1.026  51.657  0.2962  0.133
    167  0.923   7.984  0.2206  0.024
    168  0.837   5.958  0.1676  0.020
    169  0.710   2.236  0.0000  0.028
    170  0.669   6.768  0.1388  0.022
    171  0.538   6.166  0.2486  0.011
    172  0.548   8.409  0.0796  0.036
    173  1.283  12.245  0.3284  0.034
    174  0.765   6.842  0.1639  0.022
    175  1.421   0.000  0.0000  0.000
    176  1.235  12.585  0.3659  0.032
    178  1.364   0.000  0.0000  0.000
    179  0.667  14.986  0.4309  0.021
    180  0.945  17.866  0.4179  0.033
    181  1.545   5.001  0.3614  0.015
    182  0.881   6.219  0.1896  0.020
    183  0.890   5.284  0.3702  0.010
    184  1.458 173.538  0.2387  0.683
    185  2.421 173.249  0.2377  1.000
    186  0.910  21.772  0.1603  0.081
    188  0.919   5.842  0.0000  0.090
    189  1.879  10.954  0.0566  0.154
    190  1.222  14.292  0.3199  0.040
    191  0.678  18.039  0.3939  0.027
    192  0.547   4.031  0.0000  0.042
    193  0.691   6.639  0.2204  0.016
    195  0.782  10.011  0.1050  0.046
    196  0.816   7.372  0.0474  0.063
    197  0.401  10.449  0.2024  0.018
    198  1.031   3.940  0.0000  0.066
    199  0.000   0.000  0.0000  0.000
    200  0.966  31.200  0.1526  0.126
    202  1.096  42.223  0.3409  0.103
    203  0.696   5.193  0.0000  0.065
    204  1.977   3.283  0.0000  0.089
    205  0.548   6.162  0.0000  0.064
    206  0.531   3.184  0.0000  0.032
    207  1.113   8.505  0.2304  0.028
    209  1.000  15.598  0.1768  0.058
    210  0.824   6.061  0.0000  0.086
    211  0.934  14.499  0.4957  0.024
    213  1.083  47.925  0.3278  0.119
    214  0.925   4.171  0.1858  0.014
    216  0.000   8.189  0.2287  0.000
    217  1.154  15.049  0.1731  0.063
    218  0.861  16.196  0.0503  0.138
    219  0.635   7.645  0.0428  0.059
    220  0.542   5.759  0.0880  0.023
    221  0.734   2.594  0.0000  0.034
    222  1.203   9.908  0.1921  0.040
    223  0.992  23.104  0.3482  0.051
    224  1.553  14.397  0.1333  0.092
    225  0.635   5.500  0.1399  0.017
    226  1.120  21.556  0.2429  0.069
    228  0.613  30.820  0.2981  0.054
    231  1.123  11.072  0.4177  0.024
    232  0.642   3.138  0.0000  0.037
    233  1.110  21.569  0.1634  0.092
    234  1.261   7.115  0.1227  0.041
    235  1.208  13.465  0.2937  0.039
    236  1.139   3.333  0.0000  0.060
    237  0.574   7.440  0.1662  0.019
    238  1.395  14.146  0.3110  0.044
    240  1.539  13.948  0.1669  0.075
    242  0.930   5.712  0.1086  0.029
    243  1.064   4.191  0.3903  0.009
    245  0.858  12.499  0.3716  0.024
    246  0.770  14.550  0.2602  0.033
    247  1.099  10.802  0.2804  0.030
    248  0.216   0.000  0.0000  0.000
    249  0.745  37.706  0.2922  0.077
    250  1.535  26.692  0.1292  0.173
    251  0.786  13.031  0.3862  0.022
    253  0.678  16.984  0.2787  0.033
    254  1.063   7.142  0.0814  0.050
    255  1.593  29.330  0.2902  0.106
    256  1.375   7.142  0.2582  0.025
    258  0.903   4.966  0.0444  0.048
    259  1.285   2.587  0.0000  0.051
    260  1.856  21.656  0.1807  0.126
    261  2.256   0.000  0.0000  0.000
    263  0.809  20.610  0.5948  0.026
    264  1.243  19.908  0.2729  0.063
    265  1.232   8.074  0.1229  0.046
    267  2.639   8.312  0.2132  0.056
    268  0.915   7.908  0.0001  0.121
    269  0.821  10.357  0.0541  0.081
    270  2.365  93.563  0.3353  0.410
    272  0.833   3.333  0.0000  0.047
    273  0.606  11.589  0.4116  0.016
    274  1.774   8.715  0.4848  0.023
    275  3.110   9.930  0.0733  0.167
    276  0.819   7.567  0.0000  0.106
    278  1.238   0.000  0.0000  0.000
    279  1.190   0.000  0.0000  0.000
    280  0.313   2.500  0.0000  0.017
    281  0.946  14.041  0.1030  0.075
    283  2.332  88.004  0.1531  0.687
    284  0.000   6.865  0.0803  0.000
    286  0.533   0.000  0.0000  0.000
    287  1.541  12.406  0.1400  0.076
    288  0.822   0.000  0.0000  0.000
Image C=21,I=18
The max ELI is 22088.390625
   Line   grad    leng    kurv    eli
      1  0.722  10.548  0.6705  0.007
      2  2.922 138.892  0.2793  0.525
      3  1.414  31.900  0.3922  0.054
      4  2.403  23.892  0.1708  0.113
      5  0.768  41.258  0.1521  0.090
      6  2.295  92.991  0.2548  0.314
      7  3.264  74.968  0.2883  0.301
      8  0.908  10.855  0.6451  0.009
      9  1.542  29.101  0.3607  0.056
     10  0.356  26.313  0.1830  0.028
     11  3.265  90.794  0.3214  0.336
     13  2.738  49.041  0.2458  0.194
     14  0.536  81.229  0.2088  0.107
     15  2.965   9.109  0.2202  0.042
     16  0.592  12.800  0.2205  0.017
     17  2.224   9.943  0.4325  0.022
     18  3.951  38.491  0.3050  0.171
     19  1.956  33.940  0.2343  0.108
     21  0.573  85.973  0.2439  0.106
     23  0.998 131.670  0.3411  0.191
     24  1.100  67.570  0.2301  0.142
     25  0.929   9.635  0.2608  0.016
     26  1.591   2.807  0.0000  0.030
     27  1.971  11.816  0.0741  0.090
     29  1.497  24.199  0.2041  0.070
     30  1.173   8.400  0.2892  0.016
     32  3.751   9.626  0.7222  0.022
     33  3.717  11.457  0.7510  0.025
     34  0.306  39.051  0.2526  0.029
     35  0.938  19.176  0.1552  0.048
     36  2.807 104.665  0.2650  0.400
     37  2.619  80.478  0.2282  0.326
     38  0.518  72.896  0.1338  0.131
     39  0.224  55.622  0.2073  0.038
     40  2.910 265.634  0.3221  0.900
     41  0.841   3.260  0.0000  0.022
     43  0.749  11.000  0.3439  0.013
     44  2.511  85.729  0.3699  0.234
     45  0.834   9.058  0.1165  0.026
     46  0.248  10.712  0.2583  0.007
     47  1.141   4.243  0.0000  0.036
     48  2.484  68.073  0.1364  0.390
     49  0.541 113.058  0.2770  0.121
     51  0.627 110.008  0.2177  0.158
     52  0.859   9.635  0.1798  0.020
     54  1.543  39.772  0.2391  0.105
     55  1.182   6.772  0.0927  0.030
     56  0.999   4.687  0.0000  0.036
     57  0.304  21.917  0.1489  0.024
     58  1.423  17.563  0.2273  0.045
     59  0.256   7.006  0.1429  0.007
     60  1.482  17.910  0.2155  0.049
     61  0.910   5.734  0.0000  0.041
     62  1.203 110.297  0.3204  0.193
     63  0.789   0.000  0.0000  0.000
     64  0.248  34.241  0.3049  0.019
     65  0.252   4.272  0.0000  0.012
     66  3.082 123.815  0.2386  0.549
     67  0.689   7.333  0.0446  0.037
     68  0.686   8.541  0.3614  0.009
     69  1.000  10.952  0.2798  0.019
     70  0.980  10.857  0.1851  0.025
     71  0.328   5.379  0.1815  0.005
     72  0.349   2.404  0.0000  0.008
     73  0.521 103.891  0.2523  0.116
     74  1.067 102.271  0.2877  0.178
     75  0.892   5.550  0.3081  0.008
     76  1.060  16.625  0.1807  0.041
     77  0.498   3.600  0.0000  0.016
     78  2.477  18.070  0.2014  0.077
     79  0.837   3.260  0.0000  0.022
     80  0.483  59.105  0.4215  0.043
     81  0.783   8.126  0.4159  0.008
     82  0.501  11.997  0.1299  0.021
     83  0.250   9.965  0.1502  0.010
     84  0.312   2.062  0.0000  0.007
     85  0.243  50.750  0.1843  0.041
     87  1.018   7.348  0.2222  0.015
     89  0.815  47.541  0.4072  0.052
     90  1.094  47.582  0.1897  0.115
     91  2.204   9.514  0.7771  0.014
     92  3.504  50.287  0.4702  0.147
     93  0.737  19.721  0.1373  0.045
     94  0.347  10.344  0.2029  0.010
     95  0.633  23.448  0.2375  0.032
     96  0.274  83.829  0.1946  0.070
     97  1.936  76.927  0.2778  0.215
     98  0.747   9.545  0.9798  0.005
     99  0.489  22.994  0.1349  0.039
    100  0.474   2.648  0.0000  0.012
    101  0.376   9.346  0.2786  0.008
    102  1.026  51.490  0.2691  0.091
    103  0.681  12.539  0.1546  0.025
    105  1.229  17.536  0.1279  0.062
    107  0.237  62.286  0.2128  0.044
    108  2.506   6.500  0.0000  0.099
    109  0.974  45.667  0.3117  0.070
    110  0.725  20.729  0.5061  0.018
    111  0.704  40.060  0.2457  0.057
    112  0.767  58.903  0.2964  0.078
    115  0.561   0.000  0.0000  0.000
    116  0.517   6.045  0.6232  0.003
    118  1.292  13.120  0.2876  0.026
    119  2.020  81.815  0.3445  0.200
    120  3.404  69.014  0.3640  0.240
    122  1.250   0.000  0.0000  0.000
    123  2.953 137.635  0.3053  0.491
    124  2.625   9.182  0.1570  0.049
    125  0.596   6.140  0.1571  0.011
    126  0.683  43.162  0.2481  0.060
    127  1.877  15.103  0.3117  0.038
    129  2.341  12.320  0.4719  0.027
    131  0.531  18.368  0.4922  0.013
    132  3.176 184.402  0.2535  0.798
    133  0.507  23.400  0.3653  0.019
    134  1.566 175.876  0.1953  0.545
    136  1.724  14.331  0.3467  0.031
    137  2.638  10.347  0.0908  0.084
    139  0.802  21.131  0.1912  0.040
    140  0.506  46.210  0.4647  0.032
    141  0.765  33.716  0.3904  0.036
    142  0.432   4.860  0.1269  0.008
    143  1.328   8.123  0.1009  0.036
    144  2.253  11.160  0.1213  0.065
    145  0.673  21.568  0.2836  0.027
    146  1.567  13.394  0.0482  0.119
    148  0.408  21.356  0.2360  0.021
    150  0.452   7.828  0.0514  0.026
    151  2.428 139.192  0.1821  0.632
    152  1.460   4.634  0.3142  0.010
    154  0.919  23.844  0.4623  0.026
    155  1.588   3.905  0.0000  0.042
    157  2.613  12.684  0.4842  0.029
    159  2.477   7.965  0.1929  0.035
    160  0.199   6.748  0.1889  0.005
    161  1.602 335.428  0.2103  1.000
    162  1.627 158.652  0.2364  0.438
    163  0.905  12.382  0.1619  0.029
    164  0.892   4.031  0.0000  0.028
    165  3.035  18.867  0.5574  0.044
    167  2.868  10.132  0.3520  0.032
    168  0.846  23.419  0.1477  0.056
    169  2.167   4.028  0.0000  0.055
    171  0.629  30.898  0.2847  0.036
    172  0.798   7.887  0.5216  0.007
    173  0.636   7.387  0.4317  0.006
    174  0.366   0.000  0.0000  0.000
    175  1.035  31.243  0.5168  0.034
    177  0.575   8.900  0.0664  0.029
    179  1.227  17.810  0.2950  0.034
    180  0.676  22.347  0.2685  0.029
    182  2.840  70.169  0.1869  0.351
    183  0.580  48.402  0.2352  0.062
    184  3.115 144.709  0.1486  0.922
    185  1.683   5.948  0.1543  0.023
    186  0.964   6.053  0.3081  0.009
    187  1.228   2.603  0.0000  0.023
    188  4.168  15.210  0.1609  0.114
    189  0.575  37.326  0.2634  0.044
    190  1.251  43.845  0.2737  0.089
    191  3.521  27.325  0.1850  0.162
    192  0.640   0.000  0.0000  0.000
    193  0.696  11.532  0.3072  0.014
    196  0.639   2.833  0.0000  0.016
    197  1.706   7.537  0.1355  0.033
    198  0.407   5.508  0.2006  0.006
    199  0.826  36.241  0.1848  0.072
    200  2.032   9.798  0.0609  0.088
    202  1.652   4.914  0.1543  0.019
    203  0.595  11.832  0.1176  0.026
    204  0.323  21.905  0.2393  0.018
    205  0.910  45.632  0.1820  0.099
    206  0.335   3.041  0.0000  0.010
    209  1.020  10.517  0.1488  0.029
    211  3.508  26.373  0.2908  0.111
    212  1.465  12.147  0.1201  0.052
    213  1.580   3.453  0.0000  0.037
    214  0.592  19.386  0.2144  0.027
    215  1.441   3.500  0.0000  0.000
    216  1.484  21.844  0.2566  0.053
    217  2.552   0.000  0.0000  0.000
